rid,set,trial,truth,truth_AI,attr,fluency,credibility,p_ai_subj,brier,fluency_c,credibility_c
R_2X3oLiSCFAoEju1,A,15,AI,1,4,5.0,5.0,0.25,0.5625,-0.4475862068965517,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,16,Human,0,5,5.8,5.0,0.0,0.0,0.3524137931034481,-0.008620689655172598
R_2X3oLiSCFAoEju1,A,17,AI,1,5,5.4,5.333333333333333,0.0,1.0,-0.04758620689655135,0.32471264367816044
R_2X3oLiSCFAoEju1,A,18,Human,0,3,4.4,4.333333333333333,0.5,0.25,-1.0475862068965514,-0.6752873563218396
R_2X3oLiSCFAoEju1,A,19,AI,1,4,5.4,4.666666666666667,0.25,0.5625,-0.04758620689655135,-0.34195402298850563
R_2X3oLiSCFAoEju1,A,20,Human,0,4,4.8,4.333333333333333,0.25,0.0625,-0.6475862068965519,-0.6752873563218396
R_2m5dd3rnrk86Rnr,A,1,AI,1,3,5.0,5.0,0.5,0.25,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,2,Human,0,3,4.0,4.0,0.5,0.25,-1.4475862068965517,-1.0086206896551726
R_2m5dd3rnrk86Rnr,A,3,AI,1,2,4.0,4.0,0.75,0.0625,-1.4475862068965517,-1.0086206896551726
R_2m5dd3rnrk86Rnr,A,4,Human,0,4,6.0,5.0,0.25,0.0625,0.5524137931034483,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,5,AI,1,2,5.0,5.0,0.75,0.0625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,6,Human,0,2,5.0,5.0,0.75,0.5625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,7,AI,1,2,5.0,5.0,0.75,0.0625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,8,Human,0,2,4.0,4.0,0.75,0.5625,-1.4475862068965517,-1.0086206896551726
R_2m5dd3rnrk86Rnr,A,9,AI,1,2,5.0,5.0,0.75,0.0625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,10,Human,0,2,4.0,4.0,0.75,0.5625,-1.4475862068965517,-1.0086206896551726
R_2m5dd3rnrk86Rnr,A,11,AI,1,2,4.0,4.0,0.75,0.0625,-1.4475862068965517,-1.0086206896551726
R_2m5dd3rnrk86Rnr,A,12,Human,0,3,5.0,5.0,0.5,0.25,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,13,AI,1,2,5.0,5.0,0.75,0.0625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,14,Human,0,2,5.0,5.0,0.75,0.5625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,15,AI,1,4,5.0,5.0,0.25,0.5625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,16,Human,0,2,4.0,4.0,0.75,0.5625,-1.4475862068965517,-1.0086206896551726
R_2m5dd3rnrk86Rnr,A,17,AI,1,4,6.0,6.0,0.25,0.5625,0.5524137931034483,0.9913793103448274
R_2m5dd3rnrk86Rnr,A,18,Human,0,2,5.0,5.0,0.75,0.5625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,19,AI,1,2,5.0,5.0,0.75,0.0625,-0.4475862068965517,-0.008620689655172598
R_2m5dd3rnrk86Rnr,A,20,Human,0,2,4.0,5.0,0.75,0.5625,-1.4475862068965517,-0.008620689655172598
R_82zlbTkeWqAEIIj,B,1,Human,0,1,5.8,3.6666666666666665,1.0,1.0,0.3524137931034481,-1.341954022988506
R_82zlbTkeWqAEIIj,B,2,AI,1,1,6.4,4.333333333333333,1.0,0.0,0.9524137931034486,-0.6752873563218396
R_82zlbTkeWqAEIIj,B,3,Human,0,3,5.2,3.0,0.5,0.25,-0.24758620689655153,-2.0086206896551726
R_82zlbTkeWqAEIIj,B,4,AI,1,3,6.0,4.333333333333333,0.5,0.25,0.5524137931034483,-0.6752873563218396
R_82zlbTkeWqAEIIj,B,5,Human,0,3,5.2,3.0,0.5,0.25,-0.24758620689655153,-2.0086206896551726
R_82zlbTkeWqAEIIj,B,6,AI,1,4,6.2,4.0,0.25,0.5625,0.7524137931034485,-1.0086206896551726
R_82zlbTkeWqAEIIj,B,7,Human,0,3,4.8,4.0,0.5,0.25,-0.6475862068965519,-1.0086206896551726
R_82zlbTkeWqAEIIj,B,8,AI,1,2,6.2,5.0,0.75,0.0625,0.7524137931034485,-0.008620689655172598
R_82zlbTkeWqAEIIj,B,9,Human,0,5,4.6,3.3333333333333335,0.0,0.0,-0.8475862068965521,-1.6752873563218391
R_82zlbTkeWqAEIIj,B,10,AI,1,5,6.6,4.0,0.0,1.0,1.152413793103448,-1.0086206896551726
R_82zlbTkeWqAEIIj,B,11,Human,0,1,5.8,3.6666666666666665,1.0,1.0,0.3524137931034481,-1.341954022988506
R_82zlbTkeWqAEIIj,B,12,AI,1,4,6.2,4.0,0.25,0.5625,0.7524137931034485,-1.0086206896551726
R_82zlbTkeWqAEIIj,B,13,Human,0,4,4.8,2.6666666666666665,0.25,0.0625,-0.6475862068965519,-2.341954022988506
R_82zlbTkeWqAEIIj,B,14,AI,1,4,5.6,3.6666666666666665,0.25,0.5625,0.15241379310344794,-1.341954022988506
R_82zlbTkeWqAEIIj,B,15,Human,0,2,5.6,3.3333333333333335,0.75,0.5625,0.15241379310344794,-1.6752873563218391
R_82zlbTkeWqAEIIj,B,16,AI,1,2,5.4,4.0,0.75,0.0625,-0.04758620689655135,-1.0086206896551726
R_82zlbTkeWqAEIIj,B,17,Human,0,1,4.8,3.6666666666666665,1.0,1.0,-0.6475862068965519,-1.341954022988506
R_82zlbTkeWqAEIIj,B,18,AI,1,4,6.2,4.0,0.25,0.5625,0.7524137931034485,-1.0086206896551726
R_82zlbTkeWqAEIIj,B,19,Human,0,4,4.0,5.666666666666667,0.25,0.0625,-1.4475862068965517,0.6580459770114944
R_82zlbTkeWqAEIIj,B,20,AI,1,4,6.0,3.0,0.25,0.5625,0.5524137931034483,-2.0086206896551726
R_2gJShu7fvNdEAhP,A,1,AI,1,4,6.0,4.666666666666667,0.25,0.5625,0.5524137931034483,-0.34195402298850563
R_2gJShu7fvNdEAhP,A,2,Human,0,4,5.6,4.666666666666667,0.25,0.0625,0.15241379310344794,-0.34195402298850563
R_2gJShu7fvNdEAhP,A,3,AI,1,5,6.0,4.333333333333333,0.0,1.0,0.5524137931034483,-0.6752873563218396
R_2gJShu7fvNdEAhP,A,4,Human,0,4,5.0,4.333333333333333,0.25,0.0625,-0.4475862068965517,-0.6752873563218396
R_2gJShu7fvNdEAhP,A,5,AI,1,1,6.0,5.0,1.0,0.0,0.5524137931034483,-0.008620689655172598
R_2gJShu7fvNdEAhP,A,6,Human,0,1,5.0,3.6666666666666665,1.0,1.0,-0.4475862068965517,-1.341954022988506
R_2gJShu7fvNdEAhP,A,7,AI,1,1,6.2,5.333333333333333,1.0,0.0,0.7524137931034485,0.32471264367816044
R_2gJShu7fvNdEAhP,A,8,Human,0,2,5.6,4.0,0.75,0.5625,0.15241379310344794,-1.0086206896551726
R_2gJShu7fvNdEAhP,A,9,AI,1,5,6.2,5.333333333333333,0.0,1.0,0.7524137931034485,0.32471264367816044
R_2gJShu7fvNdEAhP,A,10,Human,0,5,5.0,4.0,0.0,0.0,-0.4475862068965517,-1.0086206896551726
R_2gJShu7fvNdEAhP,A,11,AI,1,3,6.4,5.0,0.5,0.25,0.9524137931034486,-0.008620689655172598
R_2gJShu7fvNdEAhP,A,12,Human,0,3,4.8,4.333333333333333,0.5,0.25,-0.6475862068965519,-0.6752873563218396
R_2gJShu7fvNdEAhP,A,13,AI,1,3,6.2,5.0,0.5,0.25,0.7524137931034485,-0.008620689655172598
R_2gJShu7fvNdEAhP,A,14,Human,0,5,5.2,3.6666666666666665,0.0,0.0,-0.24758620689655153,-1.341954022988506
R_2gJShu7fvNdEAhP,A,15,AI,1,3,5.2,4.0,0.5,0.25,-0.24758620689655153,-1.0086206896551726
R_2gJShu7fvNdEAhP,A,16,Human,0,3,5.2,4.0,0.5,0.25,-0.24758620689655153,-1.0086206896551726
R_2gJShu7fvNdEAhP,A,17,AI,1,2,5.4,4.0,0.75,0.0625,-0.04758620689655135,-1.0086206896551726
R_2gJShu7fvNdEAhP,A,18,Human,0,4,5.2,4.666666666666667,0.25,0.0625,-0.24758620689655153,-0.34195402298850563
R_2gJShu7fvNdEAhP,A,19,AI,1,4,4.4,5.333333333333333,0.25,0.5625,-1.0475862068965514,0.32471264367816044
R_2gJShu7fvNdEAhP,A,20,Human,0,5,5.0,3.3333333333333335,0.0,0.0,-0.4475862068965517,-1.6752873563218391
R_8ze1pU45mtjYYF3,A,1,AI,1,3,5.6,4.666666666666667,0.5,0.25,0.15241379310344794,-0.34195402298850563
R_8ze1pU45mtjYYF3,A,2,Human,0,1,5.0,5.333333333333333,1.0,1.0,-0.4475862068965517,0.32471264367816044
R_8ze1pU45mtjYYF3,A,3,AI,1,2,6.6,5.666666666666667,0.75,0.0625,1.152413793103448,0.6580459770114944
R_8ze1pU45mtjYYF3,A,4,Human,0,5,5.2,5.0,0.0,0.0,-0.24758620689655153,-0.008620689655172598
R_8ze1pU45mtjYYF3,A,5,AI,1,4,6.0,6.333333333333333,0.25,0.5625,0.5524137931034483,1.3247126436781604
R_8ze1pU45mtjYYF3,A,6,Human,0,4,5.2,5.666666666666667,0.25,0.0625,-0.24758620689655153,0.6580459770114944
R_8ze1pU45mtjYYF3,A,7,AI,1,2,6.4,5.666666666666667,0.75,0.0625,0.9524137931034486,0.6580459770114944
R_8ze1pU45mtjYYF3,A,8,Human,0,3,5.8,5.333333333333333,0.5,0.25,0.3524137931034481,0.32471264367816044
R_8ze1pU45mtjYYF3,A,9,AI,1,2,6.6,6.0,0.75,0.0625,1.152413793103448,0.9913793103448274
R_8ze1pU45mtjYYF3,A,10,Human,0,2,5.6,5.0,0.75,0.5625,0.15241379310344794,-0.008620689655172598
R_8ze1pU45mtjYYF3,A,11,AI,1,1,6.0,5.0,1.0,0.0,0.5524137931034483,-0.008620689655172598
R_8ze1pU45mtjYYF3,A,12,Human,0,5,5.2,4.666666666666667,0.0,0.0,-0.24758620689655153,-0.34195402298850563
R_8ze1pU45mtjYYF3,A,13,AI,1,5,6.6,5.0,0.0,1.0,1.152413793103448,-0.008620689655172598
R_8ze1pU45mtjYYF3,A,14,Human,0,4,6.0,4.666666666666667,0.25,0.0625,0.5524137931034483,-0.34195402298850563
R_8ze1pU45mtjYYF3,A,15,AI,1,4,5.2,4.666666666666667,0.25,0.5625,-0.24758620689655153,-0.34195402298850563
R_8ze1pU45mtjYYF3,A,16,Human,0,4,5.2,4.333333333333333,0.25,0.0625,-0.24758620689655153,-0.6752873563218396
R_8ze1pU45mtjYYF3,A,17,AI,1,4,4.8,4.666666666666667,0.25,0.5625,-0.6475862068965519,-0.34195402298850563
R_8ze1pU45mtjYYF3,A,18,Human,0,2,5.6,4.666666666666667,0.75,0.5625,0.15241379310344794,-0.34195402298850563
R_8ze1pU45mtjYYF3,A,19,AI,1,3,4.8,5.0,0.5,0.25,-0.6475862068965519,-0.008620689655172598
R_8ze1pU45mtjYYF3,A,20,Human,0,1,5.0,5.333333333333333,1.0,1.0,-0.4475862068965517,0.32471264367816044
R_20STSKZrSMIcMLf,B,1,Human,0,5,5.6,4.0,0.0,0.0,0.15241379310344794,-1.0086206896551726
R_20STSKZrSMIcMLf,B,2,AI,1,4,6.6,4.666666666666667,0.25,0.5625,1.152413793103448,-0.34195402298850563
R_20STSKZrSMIcMLf,B,3,Human,0,2,5.6,4.0,0.75,0.5625,0.15241379310344794,-1.0086206896551726
R_20STSKZrSMIcMLf,B,4,AI,1,4,6.6,4.0,0.25,0.5625,1.152413793103448,-1.0086206896551726
R_20STSKZrSMIcMLf,B,5,Human,0,1,5.8,3.0,1.0,1.0,0.3524137931034481,-2.0086206896551726
R_20STSKZrSMIcMLf,B,6,AI,1,1,6.4,4.666666666666667,1.0,0.0,0.9524137931034486,-0.34195402298850563
R_20STSKZrSMIcMLf,B,7,Human,0,3,5.2,4.0,0.5,0.25,-0.24758620689655153,-1.0086206896551726
R_20STSKZrSMIcMLf,B,8,AI,1,2,7.0,4.0,0.75,0.0625,1.5524137931034483,-1.0086206896551726
R_20STSKZrSMIcMLf,B,9,Human,0,4,5.2,3.0,0.25,0.0625,-0.24758620689655153,-2.0086206896551726
R_20STSKZrSMIcMLf,B,10,AI,1,2,6.4,4.666666666666667,0.75,0.0625,0.9524137931034486,-0.34195402298850563
R_20STSKZrSMIcMLf,B,11,Human,0,1,5.2,3.6666666666666665,1.0,1.0,-0.24758620689655153,-1.341954022988506
R_20STSKZrSMIcMLf,B,12,AI,1,1,6.8,3.6666666666666665,1.0,0.0,1.3524137931034481,-1.341954022988506
R_20STSKZrSMIcMLf,B,13,Human,0,4,5.2,4.0,0.25,0.0625,-0.24758620689655153,-1.0086206896551726
R_20STSKZrSMIcMLf,B,14,AI,1,3,5.2,3.6666666666666665,0.5,0.25,-0.24758620689655153,-1.341954022988506
R_20STSKZrSMIcMLf,B,15,Human,0,5,5.4,3.3333333333333335,0.0,0.0,-0.04758620689655135,-1.6752873563218391
R_20STSKZrSMIcMLf,B,16,AI,1,4,5.6,3.3333333333333335,0.25,0.5625,0.15241379310344794,-1.6752873563218391
R_20STSKZrSMIcMLf,B,17,Human,0,2,5.2,3.6666666666666665,0.75,0.5625,-0.24758620689655153,-1.341954022988506
R_20STSKZrSMIcMLf,B,18,AI,1,5,6.8,4.333333333333333,0.0,1.0,1.3524137931034481,-0.6752873563218396
R_20STSKZrSMIcMLf,B,19,Human,0,4,4.4,5.666666666666667,0.25,0.0625,-1.0475862068965514,0.6580459770114944
R_20STSKZrSMIcMLf,B,20,AI,1,2,5.6,3.6666666666666665,0.75,0.0625,0.15241379310344794,-1.341954022988506
R_2RqKFaLlf1HDya6,B,1,Human,0,2,5.8,3.6666666666666665,0.75,0.5625,0.3524137931034481,-1.341954022988506
R_2RqKFaLlf1HDya6,B,2,AI,1,2,6.6,5.333333333333333,0.75,0.0625,1.152413793103448,0.32471264367816044
R_2RqKFaLlf1HDya6,B,3,Human,0,4,5.0,4.333333333333333,0.25,0.0625,-0.4475862068965517,-0.6752873563218396
R_2RqKFaLlf1HDya6,B,4,AI,1,3,6.4,4.666666666666667,0.5,0.25,0.9524137931034486,-0.34195402298850563
R_2RqKFaLlf1HDya6,B,5,Human,0,1,5.6,3.0,1.0,1.0,0.15241379310344794,-2.0086206896551726
R_2RqKFaLlf1HDya6,B,6,AI,1,1,6.6,4.333333333333333,1.0,0.0,1.152413793103448,-0.6752873563218396
R_2RqKFaLlf1HDya6,B,7,Human,0,3,5.2,3.3333333333333335,0.5,0.25,-0.24758620689655153,-1.6752873563218391
R_2RqKFaLlf1HDya6,B,8,AI,1,1,6.4,5.333333333333333,1.0,0.0,0.9524137931034486,0.32471264367816044
R_2RqKFaLlf1HDya6,B,9,Human,0,3,5.4,4.333333333333333,0.5,0.25,-0.04758620689655135,-0.6752873563218396
R_2RqKFaLlf1HDya6,B,10,AI,1,2,6.2,4.666666666666667,0.75,0.0625,0.7524137931034485,-0.34195402298850563
R_2RqKFaLlf1HDya6,B,11,Human,0,4,5.4,4.0,0.25,0.0625,-0.04758620689655135,-1.0086206896551726
R_2RqKFaLlf1HDya6,B,12,AI,1,1,6.4,4.666666666666667,1.0,0.0,0.9524137931034486,-0.34195402298850563
R_2RqKFaLlf1HDya6,B,13,Human,0,1,5.6,4.0,1.0,1.0,0.15241379310344794,-1.0086206896551726
R_2RqKFaLlf1HDya6,B,14,AI,1,4,5.8,3.6666666666666665,0.25,0.5625,0.3524137931034481,-1.341954022988506
R_2RqKFaLlf1HDya6,B,15,Human,0,1,5.4,3.6666666666666665,1.0,1.0,-0.04758620689655135,-1.341954022988506
R_2RqKFaLlf1HDya6,B,16,AI,1,3,5.2,3.6666666666666665,0.5,0.25,-0.24758620689655153,-1.341954022988506
R_2RqKFaLlf1HDya6,B,17,Human,0,4,5.4,4.0,0.25,0.0625,-0.04758620689655135,-1.0086206896551726
R_2RqKFaLlf1HDya6,B,18,AI,1,4,6.2,4.666666666666667,0.25,0.5625,0.7524137931034485,-0.34195402298850563
R_2RqKFaLlf1HDya6,B,19,Human,0,4,4.6,5.666666666666667,0.25,0.0625,-0.8475862068965521,0.6580459770114944
R_2RqKFaLlf1HDya6,B,20,AI,1,3,5.4,4.0,0.5,0.25,-0.04758620689655135,-1.0086206896551726
R_8KwMrRgHc9gfpAQ,B,1,Human,0,2,4.4,3.0,0.75,0.5625,-1.0475862068965514,-2.0086206896551726
R_8KwMrRgHc9gfpAQ,B,2,AI,1,4,6.2,6.0,0.25,0.5625,0.7524137931034485,0.9913793103448274
R_8KwMrRgHc9gfpAQ,B,3,Human,0,2,5.6,4.0,0.75,0.5625,0.15241379310344794,-1.0086206896551726
R_8KwMrRgHc9gfpAQ,B,4,AI,1,2,6.0,4.666666666666667,0.75,0.0625,0.5524137931034483,-0.34195402298850563
R_8KwMrRgHc9gfpAQ,B,5,Human,0,2,4.2,3.6666666666666665,0.75,0.5625,-1.2475862068965515,-1.341954022988506
R_8KwMrRgHc9gfpAQ,B,6,AI,1,3,6.2,5.0,0.5,0.25,0.7524137931034485,-0.008620689655172598
R_8KwMrRgHc9gfpAQ,B,7,Human,0,4,4.4,3.6666666666666665,0.25,0.0625,-1.0475862068965514,-1.341954022988506
R_8KwMrRgHc9gfpAQ,B,8,AI,1,4,6.0,4.333333333333333,0.25,0.5625,0.5524137931034483,-0.6752873563218396
R_8KwMrRgHc9gfpAQ,B,9,Human,0,4,4.2,3.0,0.25,0.0625,-1.2475862068965515,-2.0086206896551726
R_8KwMrRgHc9gfpAQ,B,10,AI,1,4,6.0,4.666666666666667,0.25,0.5625,0.5524137931034483,-0.34195402298850563
R_8KwMrRgHc9gfpAQ,B,11,Human,0,4,4.0,2.6666666666666665,0.25,0.0625,-1.4475862068965517,-2.341954022988506
R_8KwMrRgHc9gfpAQ,B,12,AI,1,3,6.4,5.0,0.5,0.25,0.9524137931034486,-0.008620689655172598
R_8KwMrRgHc9gfpAQ,B,13,Human,0,3,4.8,4.333333333333333,0.5,0.25,-0.6475862068965519,-0.6752873563218396
R_8KwMrRgHc9gfpAQ,B,14,AI,1,2,4.6,3.6666666666666665,0.75,0.0625,-0.8475862068965521,-1.341954022988506
R_8KwMrRgHc9gfpAQ,B,15,Human,0,3,4.2,4.333333333333333,0.5,0.25,-1.2475862068965515,-0.6752873563218396
R_8KwMrRgHc9gfpAQ,B,16,AI,1,2,5.2,3.3333333333333335,0.75,0.0625,-0.24758620689655153,-1.6752873563218391
R_8KwMrRgHc9gfpAQ,B,17,Human,0,5,5.4,3.3333333333333335,0.0,0.0,-0.04758620689655135,-1.6752873563218391
R_8KwMrRgHc9gfpAQ,B,18,AI,1,1,6.6,5.333333333333333,1.0,0.0,1.152413793103448,0.32471264367816044
R_8KwMrRgHc9gfpAQ,B,19,Human,0,5,3.2,4.0,0.0,0.0,-2.2475862068965515,-1.0086206896551726
R_8KwMrRgHc9gfpAQ,B,20,AI,1,2,5.0,4.0,0.75,0.0625,-0.4475862068965517,-1.0086206896551726
R_2HTviBOZJkxzjNL,B,1,Human,0,3,4.8,5.0,0.5,0.25,-0.6475862068965519,-0.008620689655172598
R_2HTviBOZJkxzjNL,B,2,AI,1,1,6.0,6.0,1.0,0.0,0.5524137931034483,0.9913793103448274
R_2HTviBOZJkxzjNL,B,3,Human,0,3,5.2,4.333333333333333,0.5,0.25,-0.24758620689655153,-0.6752873563218396
R_2HTviBOZJkxzjNL,B,4,AI,1,4,6.2,5.666666666666667,0.25,0.5625,0.7524137931034485,0.6580459770114944
R_2HTviBOZJkxzjNL,B,5,Human,0,2,5.4,4.0,0.75,0.5625,-0.04758620689655135,-1.0086206896551726
R_2HTviBOZJkxzjNL,B,6,AI,1,1,6.8,6.333333333333333,1.0,0.0,1.3524137931034481,1.3247126436781604
R_2HTviBOZJkxzjNL,B,7,Human,0,4,5.4,5.0,0.25,0.0625,-0.04758620689655135,-0.008620689655172598
R_2HTviBOZJkxzjNL,B,8,AI,1,1,6.6,5.666666666666667,1.0,0.0,1.152413793103448,0.6580459770114944
R_2HTviBOZJkxzjNL,B,9,Human,0,5,5.2,5.666666666666667,0.0,0.0,-0.24758620689655153,0.6580459770114944
R_2HTviBOZJkxzjNL,B,10,AI,1,1,5.8,5.666666666666667,1.0,0.0,0.3524137931034481,0.6580459770114944
R_2HTviBOZJkxzjNL,B,11,Human,0,1,5.6,5.0,1.0,1.0,0.15241379310344794,-0.008620689655172598
R_2HTviBOZJkxzjNL,B,12,AI,1,3,6.8,6.0,0.5,0.25,1.3524137931034481,0.9913793103448274
R_2HTviBOZJkxzjNL,B,13,Human,0,2,5.2,4.666666666666667,0.75,0.5625,-0.24758620689655153,-0.34195402298850563
R_2HTviBOZJkxzjNL,B,14,AI,1,3,6.0,5.0,0.5,0.25,0.5524137931034483,-0.008620689655172598
R_2HTviBOZJkxzjNL,B,15,Human,0,5,5.4,4.666666666666667,0.0,0.0,-0.04758620689655135,-0.34195402298850563
R_2HTviBOZJkxzjNL,B,16,AI,1,3,6.0,5.666666666666667,0.5,0.25,0.5524137931034483,0.6580459770114944
R_2HTviBOZJkxzjNL,B,17,Human,0,4,5.4,4.0,0.25,0.0625,-0.04758620689655135,-1.0086206896551726
R_2HTviBOZJkxzjNL,B,18,AI,1,2,6.2,5.0,0.75,0.0625,0.7524137931034485,-0.008620689655172598
R_2HTviBOZJkxzjNL,B,19,Human,0,4,5.2,5.333333333333333,0.25,0.0625,-0.24758620689655153,0.32471264367816044
R_2HTviBOZJkxzjNL,B,20,AI,1,4,5.6,4.666666666666667,0.25,0.5625,0.15241379310344794,-0.34195402298850563
R_20vgjXqQ5zzOPSq,A,1,AI,1,4,6.2,4.666666666666667,0.25,0.5625,0.7524137931034485,-0.34195402298850563
R_20vgjXqQ5zzOPSq,A,2,Human,0,4,5.6,4.333333333333333,0.25,0.0625,0.15241379310344794,-0.6752873563218396
R_20vgjXqQ5zzOPSq,A,3,AI,1,2,6.8,3.6666666666666665,0.75,0.0625,1.3524137931034481,-1.341954022988506
R_20vgjXqQ5zzOPSq,A,4,Human,0,3,5.6,4.0,0.5,0.25,0.15241379310344794,-1.0086206896551726
R_20vgjXqQ5zzOPSq,A,5,AI,1,1,6.8,4.333333333333333,1.0,0.0,1.3524137931034481,-0.6752873563218396
R_20vgjXqQ5zzOPSq,A,6,Human,0,5,5.8,4.333333333333333,0.0,0.0,0.3524137931034481,-0.6752873563218396
R_20vgjXqQ5zzOPSq,A,7,AI,1,2,6.8,4.666666666666667,0.75,0.0625,1.3524137931034481,-0.34195402298850563
R_20vgjXqQ5zzOPSq,A,8,Human,0,5,5.2,4.0,0.0,0.0,-0.24758620689655153,-1.0086206896551726
R_20vgjXqQ5zzOPSq,A,9,AI,1,4,6.2,4.666666666666667,0.25,0.5625,0.7524137931034485,-0.34195402298850563
